StaID,antecedent_obs_per,last_year_obs_per,last_year_drought_per,continuous_drought_length,current_drought_category,current_drought_length
01011000,71,62,12,NA,NA,NA
01013500,93,85,18,NA,NA,NA
01015800,93,67,21,NA,NA,NA
01017000,87,65,21,NA,NA,NA
01019000,100,100,65,NA,NA,NA
01022500,100,100,41,NA,NA,NA
01030500,100,100,36,NA,NA,NA
01031500,100,100,28,NA,NA,NA
01034500,100,100,37,NA,NA,NA
01038000,100,100,23,NA,NA,NA
01042500,100,100,27,NA,NA,NA
01046500,100,100,36,NA,NA,NA
01047000,100,100,24,NA,NA,NA
01049500,100,100,22,3,20,3
01052500,100,100,19,NA,NA,NA
01053500,100,100,35,NA,NA,NA
01054000,100,100,33,NA,NA,NA
01054200,100,100,23,NA,NA,NA
01054500,100,100,32,NA,NA,NA
01055000,100,100,21,NA,NA,NA
01057000,100,100,27,NA,NA,NA
01059000,100,100,31,NA,NA,NA
01064500,100,100,32,NA,NA,NA
01066000,100,100,25,NA,NA,NA
01073000,100,100,44,NA,NA,NA
01073500,100,100,41,NA,NA,NA
01076500,100,100,33,NA,NA,NA
01078000,100,100,39,NA,NA,NA
01081000,100,100,34,NA,NA,NA
01092000,100,100,34,NA,NA,NA
01094400,100,100,33,NA,NA,NA
01094500,100,100,38,NA,NA,NA
01096000,100,100,38,NA,NA,NA
01096500,100,100,28,NA,NA,NA
01097000,100,88,30,NA,NA,NA
01097300,100,100,44,NA,NA,NA
01098530,84,96,50,NA,NA,NA
01099500,100,100,44,NA,NA,NA
01100000,100,100,39,NA,NA,NA
01101000,100,100,56,NA,NA,NA
01101500,100,100,38,NA,NA,NA
01102000,100,100,49,NA,NA,NA
01102500,100,94,40,NA,NA,NA
01103500,100,100,36,NA,NA,NA
01104200,100,100,37,NA,NA,NA
01104500,100,100,37,NA,NA,NA
01105000,100,100,34,NA,NA,NA
01105500,100,100,28,NA,NA,NA
01105600,100,100,22,NA,NA,NA
01105730,100,100,24,NA,NA,NA
01105870,100,100,17,NA,NA,NA
01109000,100,100,32,NA,NA,NA
01109060,100,100,32,NA,NA,NA
01109070,100,100,27,NA,NA,NA
01110000,100,100,33,NA,NA,NA
01111500,100,100,39,NA,NA,NA
01112500,100,100,42,NA,NA,NA
01114000,100,100,26,NA,NA,NA
01114500,100,100,42,NA,NA,NA
01116000,100,100,41,NA,NA,NA
01116500,100,100,41,NA,NA,NA
01117000,100,100,20,NA,NA,NA
01117350,100,100,22,NA,NA,NA
01117420,100,100,22,NA,NA,NA
01117468,100,100,16,NA,NA,NA
01117500,100,100,12,NA,NA,NA
01117800,100,100,36,NA,NA,NA
01118000,100,100,35,NA,NA,NA
01118300,100,100,25,NA,NA,NA
01118500,100,100,22,NA,NA,NA
01119500,100,100,39,NA,NA,NA
01121000,100,100,31,NA,NA,NA
01122500,100,100,33,NA,NA,NA
01123000,100,100,27,NA,NA,NA
01124000,100,100,40,NA,NA,NA
01127000,100,100,35,NA,NA,NA
01127500,100,100,36,NA,NA,NA
01129200,100,100,16,NA,NA,NA
01134500,100,100,23,NA,NA,NA
01135500,100,100,12,NA,NA,NA
01137500,100,100,29,NA,NA,NA
01139000,100,100,21,NA,NA,NA
01139800,100,100,14,NA,NA,NA
01142500,100,96,13,NA,NA,NA
01144000,100,100,17,NA,NA,NA
01151500,100,100,35,NA,NA,NA
01152500,100,100,45,NA,NA,NA
01154500,100,100,27,NA,NA,NA
01161000,100,100,33,NA,NA,NA
01162000,100,100,35,NA,NA,NA
01162500,100,100,30,NA,NA,NA
01163200,100,100,32,NA,NA,NA
01166500,100,100,29,NA,NA,NA
01168500,100,100,24,NA,NA,NA
01169000,100,100,37,NA,NA,NA
01169900,100,100,27,NA,NA,NA
01170000,100,100,31,NA,NA,NA
01170100,100,76,18,NA,NA,NA
01170500,100,100,27,NA,NA,NA
01171500,100,100,30,NA,NA,NA
01172500,100,100,44,NA,NA,NA
01173000,100,100,43,NA,NA,NA
01173500,100,100,45,NA,NA,NA
01174500,100,100,36,NA,NA,NA
01175500,100,100,4,NA,NA,NA
01175670,100,100,44,NA,NA,NA
01176000,100,100,41,NA,NA,NA
01177000,100,100,36,NA,NA,NA
01181000,100,100,38,NA,NA,NA
01183500,100,100,30,NA,NA,NA
01184000,100,100,36,NA,NA,NA
01184100,100,100,33,NA,NA,NA
01185500,100,100,37,NA,NA,NA
01186000,100,100,37,NA,NA,NA
01186500,100,100,39,NA,NA,NA
01187300,100,100,30,NA,NA,NA
01188000,100,100,32,NA,NA,NA
01188090,100,100,41,NA,NA,NA
01189995,100,100,39,NA,NA,NA
01192500,100,100,39,NA,NA,NA
01192883,100,100,27,NA,NA,NA
01193500,100,87,20,NA,NA,NA
01195100,100,100,25,NA,NA,NA
01196500,100,100,26,NA,NA,NA
01196620,100,100,22,NA,NA,NA
01197000,100,100,33,NA,NA,NA
01197500,100,100,36,NA,NA,NA
01199000,100,100,35,NA,NA,NA
01199050,100,100,39,NA,NA,NA
01200500,100,100,36,NA,NA,NA
01204000,100,100,20,NA,NA,NA
01205500,100,100,24,NA,NA,NA
01206900,100,100,32,NA,NA,NA
01208500,100,100,34,NA,NA,NA
01208950,100,100,27,NA,NA,NA
01208990,100,100,29,NA,NA,NA
01209700,100,100,26,NA,NA,NA
01303500,100,100,0,NA,NA,NA
01304500,100,100,36,NA,NA,NA
01305000,100,100,6,NA,NA,NA
01305500,100,100,14,NA,NA,NA
01306460,100,100,0,NA,NA,NA
01306500,100,100,0,NA,NA,NA
01308500,100,100,32,NA,NA,NA
01311500,100,100,0,NA,NA,NA
01315000,100,100,32,NA,NA,NA
01315500,100,100,25,NA,NA,NA
01318500,100,100,26,NA,NA,NA
01321000,100,100,28,NA,NA,NA
01325000,100,100,28,NA,NA,NA
01327750,100,100,26,NA,NA,NA
01331095,100,100,26,NA,NA,NA
01331500,100,100,39,NA,NA,NA
01332500,100,100,34,NA,NA,NA
01333000,100,100,36,NA,NA,NA
01334000,100,100,28,NA,NA,NA
01334500,100,100,25,NA,NA,NA
01335754,100,100,28,NA,NA,NA
01336000,100,100,38,NA,NA,NA
01346000,100,100,19,NA,NA,NA
01347000,100,100,18,NA,NA,NA
01350000,100,100,28,NA,NA,NA
01350120,100,100,19,NA,NA,NA
01350140,100,100,32,NA,NA,NA
01350180,100,100,24,NA,NA,NA
01350355,100,100,32,NA,NA,NA
01351500,100,100,26,NA,NA,NA
01357500,100,100,18,NA,NA,NA
01362200,100,100,21,NA,NA,NA
01362500,100,100,4,NA,NA,NA
01364500,100,100,17,NA,NA,NA
01365000,100,100,38,NA,NA,NA
01367500,100,100,27,NA,NA,NA
01371500,100,100,13,NA,NA,NA
01372500,100,100,22,NA,NA,NA
01375000,100,100,42,NA,NA,NA
01376800,100,100,43,NA,NA,NA
01377000,100,100,34,NA,NA,NA
01377500,100,100,37,NA,NA,NA
01378500,100,100,15,NA,NA,NA
01379000,100,100,40,NA,NA,NA
01379500,100,100,35,NA,NA,NA
01381000,100,100,29,NA,NA,NA
01381500,100,100,31,NA,NA,NA
01383500,100,100,21,NA,NA,NA
01387400,100,100,27,NA,NA,NA
01387420,100,100,25,NA,NA,NA
01387500,100,100,30,NA,NA,NA
01388000,100,100,24,NA,NA,NA
01388500,100,100,20,NA,NA,NA
01390500,100,100,28,NA,NA,NA
01391500,100,100,29,NA,NA,NA
01393450,100,100,25,NA,NA,NA
01394500,100,100,26,NA,NA,NA
01395000,100,100,24,NA,NA,NA
01396500,100,100,42,NA,NA,NA
01396582,100,100,34,NA,NA,NA
01396660,100,100,41,NA,NA,NA
01396800,100,100,47,134,20,5
01397000,100,100,42,NA,NA,NA
01398000,100,100,55,NA,NA,NA
01398500,100,100,47,NA,NA,NA
01399500,100,96,40,NA,NA,NA
01399670,100,100,22,NA,NA,NA
01400500,100,100,24,NA,NA,NA
01401000,100,100,56,NA,NA,NA
01401650,100,100,52,NA,NA,NA
01402000,100,100,27,NA,NA,NA
01403060,100,100,35,NA,NA,NA
01403150,100,100,43,NA,NA,NA
01403400,100,100,47,NA,NA,NA
01403540,100,100,30,NA,NA,NA
01405400,100,100,37,NA,NA,NA
01407500,100,100,38,NA,NA,NA
01407705,100,100,40,NA,NA,NA
01407760,100,100,38,NA,NA,NA
01408000,100,100,63,NA,NA,NA
01408120,100,100,53,NA,NA,NA
01408500,100,100,66,NA,NA,NA
01409400,100,100,63,NA,NA,NA
01410000,100,100,73,15,10,3
01410150,100,100,74,8,20,8
01411000,100,100,64,NA,NA,NA
01411300,100,100,77,12,5,6
01411500,100,100,77,9,20,9
01413500,100,100,31,NA,NA,NA
01414500,100,82,23,NA,NA,NA
01415000,16,57,19,NA,NA,NA
01417000,100,100,0,NA,NA,NA
01417500,100,100,18,NA,NA,NA
01420500,100,100,27,NA,NA,NA
01421000,100,100,22,NA,NA,NA
01423000,100,100,23,NA,NA,NA
01425000,100,100,0,NA,NA,NA
01426500,100,100,4,NA,NA,NA
01427510,100,100,20,NA,NA,NA
01428500,100,100,20,NA,NA,NA
01429000,100,100,22,NA,NA,NA
01429500,100,100,18,NA,NA,NA
01431500,100,100,21,NA,NA,NA
01434000,100,95,19,NA,NA,NA
01435000,100,89,20,NA,NA,NA
01436000,100,100,0,NA,NA,NA
01437500,100,100,18,NA,NA,NA
01438500,100,100,18,NA,NA,NA
01439500,100,100,38,NA,NA,NA
01440000,100,100,30,NA,NA,NA
01440400,100,100,32,NA,NA,NA
01442500,100,100,41,NA,NA,NA
01443500,100,100,29,NA,NA,NA
01443900,100,100,41,NA,NA,NA
01445500,100,100,43,NA,NA,NA
01446500,100,100,24,NA,NA,NA
01447500,100,100,24,NA,NA,NA
01447680,100,100,35,NA,NA,NA
01447720,100,100,30,NA,NA,NA
01447800,100,100,23,NA,NA,NA
01449360,100,100,38,NA,NA,NA
01449800,100,100,36,NA,NA,NA
01450500,100,100,49,NA,NA,NA
01451000,100,100,35,NA,NA,NA
01451500,100,100,47,NA,NA,NA
01451800,100,100,30,NA,NA,NA
01452000,100,100,42,NA,NA,NA
01452500,100,100,44,NA,NA,NA
01453000,100,100,41,NA,NA,NA
01457000,100,100,53,NA,NA,NA
01459500,100,100,38,NA,NA,NA
01463500,100,100,29,NA,NA,NA
01464000,100,100,49,NA,NA,NA
01464500,100,100,60,NA,NA,NA
01465798,37,58,20,NA,NA,NA
01466500,100,100,85,309,10,6
01467000,100,100,85,NA,NA,NA
01467048,100,100,47,NA,NA,NA
01467081,100,100,41,NA,NA,NA
01467150,100,100,50,NA,NA,NA
01468500,100,100,59,NA,NA,NA
01469500,100,91,33,NA,NA,NA
01470500,100,100,54,NA,NA,NA
01470779,100,100,69,NA,NA,NA
01470960,100,100,72,NA,NA,NA
01471000,100,100,70,NA,NA,NA
01471510,100,100,59,NA,NA,NA
01472000,100,100,53,NA,NA,NA
01472157,100,100,52,NA,NA,NA
01472198,100,100,48,NA,NA,NA
01472199,100,100,49,NA,NA,NA
01473000,100,100,34,NA,NA,NA
01474000,100,100,45,NA,NA,NA
01474500,100,100,55,NA,NA,NA
01475850,100,100,63,NA,NA,NA
01477000,100,100,58,NA,NA,NA
01477120,100,100,52,NA,NA,NA
01477800,100,100,32,NA,NA,NA
01478000,100,95,29,NA,NA,NA
01479000,100,96,33,NA,NA,NA
01480000,100,100,38,NA,NA,NA
01480300,100,100,45,NA,NA,NA
01480500,100,100,48,NA,NA,NA
01480617,100,100,46,NA,NA,NA
01480675,100,100,48,NA,NA,NA
01480685,100,100,35,1,20,1
01480700,100,100,37,NA,NA,NA
01480870,100,100,39,NA,NA,NA
01481000,100,100,51,NA,NA,NA
01481500,100,100,54,NA,NA,NA
01483200,100,100,74,NA,NA,NA
01483700,100,100,64,NA,NA,NA
01484100,100,100,61,9,20,9
01485500,100,100,49,NA,NA,NA
01486000,100,100,45,NA,NA,NA
01487000,100,100,64,NA,NA,NA
01491000,100,100,69,NA,NA,NA
01493000,100,100,52,NA,NA,NA
01493500,100,100,46,NA,NA,NA
01495000,100,100,44,NA,NA,NA
01500000,100,100,23,NA,NA,NA
01503000,100,100,19,NA,NA,NA
01509000,100,100,24,NA,NA,NA
01510000,100,100,24,NA,NA,NA
01512500,100,100,20,NA,NA,NA
01516350,100,100,9,NA,NA,NA
01516500,100,96,20,NA,NA,NA
01518000,100,100,21,NA,NA,NA
01518700,100,100,21,NA,NA,NA
01520000,100,100,16,NA,NA,NA
01521500,100,100,24,NA,NA,NA
01523500,100,100,22,NA,NA,NA
01524500,100,100,28,NA,NA,NA
01526500,100,100,22,NA,NA,NA
01529500,100,100,22,NA,NA,NA
01529950,100,100,23,NA,NA,NA
01531000,100,100,19,NA,NA,NA
01531500,100,100,24,NA,NA,NA
01532000,100,100,24,NA,NA,NA
01533400,100,100,22,NA,NA,NA
01534000,100,100,16,NA,NA,NA
01534300,100,100,15,NA,NA,NA
01534500,100,100,21,NA,NA,NA
01536000,100,100,17,NA,NA,NA
01536500,100,100,21,NA,NA,NA
01538000,100,100,36,NA,NA,NA
01539000,100,100,26,NA,NA,NA
01540500,100,100,22,NA,NA,NA
01541000,100,100,24,NA,NA,NA
01541200,100,100,23,NA,NA,NA
01541303,100,100,20,NA,NA,NA
01541500,100,100,21,NA,NA,NA
01542810,100,100,29,NA,NA,NA
01543000,100,100,27,NA,NA,NA
01543500,100,100,20,NA,NA,NA
01544000,100,100,22,NA,NA,NA
01544500,100,100,11,NA,NA,NA
01545000,100,100,8,NA,NA,NA
01545500,100,100,21,NA,NA,NA
01545600,100,100,14,NA,NA,NA
01546500,100,100,16,NA,NA,NA
01547100,100,100,15,NA,NA,NA
01547200,100,100,9,NA,NA,NA
01547500,100,100,17,NA,NA,NA
01547700,100,100,23,NA,NA,NA
01547950,100,100,9,NA,NA,NA
01548500,100,100,15,NA,NA,NA
01549500,100,100,18,NA,NA,NA
01549700,100,100,13,NA,NA,NA
01550000,100,100,18,NA,NA,NA
01551500,100,100,19,NA,NA,NA
01552000,100,100,21,NA,NA,NA
01552500,100,100,34,NA,NA,NA
01553500,100,100,19,NA,NA,NA
01553700,100,100,53,NA,NA,NA
01554000,100,100,21,NA,NA,NA
01555000,100,100,13,NA,NA,NA
01555500,100,100,44,NA,NA,NA
01556000,100,100,18,NA,NA,NA
01557500,100,100,7,NA,NA,NA
01558000,100,100,15,NA,NA,NA
01559000,100,100,10,NA,NA,NA
01560000,100,100,28,NA,NA,NA
01562000,100,100,22,NA,NA,NA
01563200,100,100,25,NA,NA,NA
01563500,100,100,19,NA,NA,NA
01564500,100,100,22,NA,NA,NA
01567000,100,100,23,NA,NA,NA
01567500,100,100,16,NA,NA,NA
01568000,100,100,22,NA,NA,NA
01570000,100,100,31,NA,NA,NA
01571500,100,100,45,NA,NA,NA
01573000,100,100,45,NA,NA,NA
01573560,100,100,46,NA,NA,NA
01574000,100,100,43,NA,NA,NA
01574500,100,100,82,NA,NA,NA
01576500,100,100,55,NA,NA,NA
01580000,100,100,58,NA,NA,NA
01581700,100,92,48,NA,NA,NA
01582000,100,100,57,NA,NA,NA
01583500,100,100,38,NA,NA,NA
01584050,100,100,51,NA,NA,NA
01585100,100,100,33,NA,NA,NA
01585500,100,100,53,NA,NA,NA
01586000,100,100,46,NA,NA,NA
01591000,100,92,36,NA,NA,NA
01591400,100,100,37,NA,NA,NA
01591610,100,100,35,NA,NA,NA
01591700,100,100,42,NA,NA,NA
01592500,100,100,27,97,10,39
01593500,100,85,23,NA,NA,NA
01594440,100,100,36,NA,NA,NA
01595000,100,100,45,NA,NA,NA
01596500,100,100,42,NA,NA,NA
01597500,99,100,55,NA,NA,NA
01598500,100,100,41,NA,NA,NA
01599000,56,89,47,NA,NA,NA
01601500,100,100,28,NA,NA,NA
01603000,100,100,32,NA,NA,NA
01604500,100,100,52,NA,NA,NA
01605500,100,100,49,NA,NA,NA
01606500,100,100,36,NA,NA,NA
01607500,100,100,30,NA,NA,NA
01608000,100,100,31,NA,NA,NA
01608500,100,100,42,NA,NA,NA
01610000,100,100,47,NA,NA,NA
01611500,100,100,39,NA,NA,NA
01613000,100,100,45,NA,NA,NA
01613050,100,100,30,NA,NA,NA
01614500,100,100,43,NA,NA,NA
01616500,100,100,42,NA,NA,NA
01617800,100,100,30,NA,NA,NA
01619500,100,100,67,NA,NA,NA
01620500,100,100,25,NA,NA,NA
01622000,100,100,18,NA,NA,NA
01625000,100,92,29,NA,NA,NA
01626000,100,100,33,NA,NA,NA
01627500,100,100,15,NA,NA,NA
01628500,100,100,33,NA,NA,NA
01629500,100,100,32,NA,NA,NA
01631000,100,96,31,NA,NA,NA
01632000,100,100,23,NA,NA,NA
01632900,100,100,32,NA,NA,NA
01633000,100,96,25,NA,NA,NA
01634000,100,92,26,NA,NA,NA
01634500,100,94,17,NA,NA,NA
01635500,100,92,22,NA,NA,NA
01636500,100,100,30,NA,NA,NA
01637500,100,100,54,NA,NA,NA
01638480,100,93,34,NA,NA,NA
01638500,100,100,41,NA,NA,NA
01639000,100,100,39,NA,NA,NA
01639500,100,100,59,NA,NA,NA
01643000,100,100,42,NA,NA,NA
01643500,100,100,50,NA,NA,NA
01644000,100,100,60,NA,NA,NA
01645000,100,100,31,NA,NA,NA
01646000,100,100,55,NA,NA,NA
01646500,100,100,47,NA,NA,NA
01646502,0,28,13,NA,NA,NA
01648000,100,93,32,NA,NA,NA
01649500,100,100,37,NA,NA,NA
01653600,100,100,57,NA,NA,NA
01654000,100,100,35,NA,NA,NA
01658500,100,100,52,NA,NA,NA
01661050,100,93,26,NA,NA,NA
01661500,100,100,41,NA,NA,NA
01664000,100,100,30,NA,NA,NA
01666500,100,92,30,NA,NA,NA
01667500,100,100,21,NA,NA,NA
01668000,100,100,36,NA,NA,NA
01669000,100,100,25,NA,NA,NA
01669520,100,91,24,NA,NA,NA
01671020,100,100,48,NA,NA,NA
01671100,100,94,43,NA,NA,NA
01673000,100,100,33,NA,NA,NA
01673550,100,100,24,NA,NA,NA
01673800,100,95,37,NA,NA,NA
01674000,100,100,33,NA,NA,NA
01674500,100,100,28,NA,NA,NA
02011400,100,100,53,NA,NA,NA
02011460,100,100,45,NA,NA,NA
02011500,100,100,40,NA,NA,NA
02011800,100,100,38,NA,NA,NA
02013000,100,100,27,NA,NA,NA
02013100,100,100,30,NA,NA,NA
02014000,100,100,19,NA,NA,NA
02015700,100,100,60,NA,NA,NA
02016000,100,100,38,NA,NA,NA
02016500,100,100,27,NA,NA,NA
02017500,100,100,31,NA,NA,NA
02018000,100,100,37,NA,NA,NA
02018500,100,100,13,NA,NA,NA
02019500,100,100,30,NA,NA,NA
02021500,100,100,29,NA,NA,NA
02022500,100,92,35,NA,NA,NA
02024000,100,100,36,NA,NA,NA
02025500,100,100,27,NA,NA,NA
02026000,100,100,23,NA,NA,NA
02027000,100,100,18,NA,NA,NA
02027500,94,99,16,NA,NA,NA
02028500,100,100,16,NA,NA,NA
02029000,100,100,23,NA,NA,NA
02030000,100,100,12,NA,NA,NA
02031000,100,100,20,NA,NA,NA
02034000,100,100,22,NA,NA,NA
02035000,100,100,24,NA,NA,NA
02036500,100,100,26,NA,NA,NA
02037500,100,100,25,NA,NA,NA
02038850,100,100,4,NA,NA,NA
02039000,100,100,1,NA,NA,NA
02039500,100,100,6,NA,NA,NA
